,Airline,Month_num,Passengers_In,Passengers_Out
1099,Garuda Indonesia,5,20888,19590
147,Jetstar Asia,5,3944,3585
694,Delta Air Lines,5,8471,7377
685,Qantas Airways,5,25280,26368
936,Virgin Australia,5,21920,20892
1362,China Southern Airlines,5,45571,45594
53,Qantas Airways,5,10377,13377
1008,United Parcel Service,5,0,0
1209,Eva Air,5,4676,4312
627,Royal Brunei Airlines,5,3587,4583
120,Virgin Australia,5,46046,41964
313,Jetstar,5,2618,2321
633,Silk Air,5,4794,5550
634,South African Airways,5,5406,5655
1323,Jetstar,5,6452,6401
321,Donghai Airlines,5,215,179
899,Federal Express Corporation,5,0,0
896,LATAM Airlines,5,2445,2720
323,United Parcel Service,5,0,0
587,Japan Airlines,5,8473,10236
682,Virgin Australia,5,1130,1059
586,Federal Express Corporation,5,0,0
644,Qantas Airways,5,11462,11589
918,Beijing Capital Airlines,5,2899,2712
1228,Jetstar,5,64134,64190
920,Air Caledonie International,5,3996,3786
666,Emirates,5,8219,6551
1312,Scoot Tigerair,5,20786,19017
564,Tianjin Airlines,5,1352,1135
669,Jetstar,5,27676,26503
31,Virgin Australia,5,9520,10539
1071,Jetstar,5,14024,16315
341,Virgin Australia,5,1020,1132
274,Malindo Air,5,6624,7488
550,Hainan Airlines,5,9082,9350
1073,Qantas Airways,5,5795,5997
1224,Virgin Australia,5,11258,11401
78,Qantas Airways,5,2828,2134
875,Vietnam Airlines,5,15309,14241
177,Qatar Airways,5,40025,64307
56,Etihad Airways,5,31958,51096
960,Sichuan Airlines,5,3727,4551
170,Virgin Australia,5,483,699
1079,Malaysia Airlines,5,0,0
1149,Virgin Australia,5,1621,1647
20,Qantas Airways,5,1571,1834
453,Thai Airways International,5,29246,33209
203,Solomon Airlines,5,1618,1508
955,Tasman Cargo Airlines,5,0,0
1152,Batik Air Indonesia,5,2971,2755
171,Fiji Airways,5,20347,20470
782,Air New Zealand,5,999,1229
234,Xiamen Airlines,5,7969,8160
778,Qantas Airways,5,0,0
94,Jetstar,5,10598,9251
222,Air Mauritius,5,2040,2088
835,Qantas Airways,5,4321,3966
440,Air New Zealand,5,106655,98583
1129,All Nippon Airways,5,5089,5580
823,Qantas Airways,5,61168,61930
414,Virgin Australia,5,1814,1885
821,American Airlines,5,8482,7776
164,AirAsia X,5,46475,38083
406,Jetstar,5,10392,11075
1054,Qantas Airways,5,44944,44691
815,Air China,5,11015,14577
2,Polar Air Cargo,5,0,0
1284,Pacific Air Express,5,0,0
61,Air India,5,7963,6119
215,Air Canada,5,13557,18280
976,Jetstar,5,2019,2203
60,Air Niugini,5,5596,5339
965,Emirates,5,74475,99269
219,Qantas Airways,5,4169,4082
438,Federal Express Corporation,5,0,0
972,United Parcel Service,5,0,0
849,United Parcel Service,5,0,0
233,Emirates,5,5104,3901
71,Emirates,5,6621,5906
100,Polar Air Cargo,5,0,0
1169,Philippine Airlines,5,14407,11761
1259,United Airlines,5,20030,19763
1170,China Eastern Airlines,5,32392,33800
758,Malaysia Airlines,5,45669,38056
1121,Singapore Airlines,5,1787,1028
1119,Singapore Airlines,5,136627,137834
174,Emirates,5,0,0
379,British Airways,5,2729,3079
478,Virgin Australia,5,13685,15138
1254,Jetstar,5,3068,2605
475,Nauru Airlines,5,764,552
1266,Korean Air,5,10774,11199
1076,China Airlines,5,12914,14138
1344,Pacific Air Express,5,0,0
34,Vietnam Airlines,6,15096,17822
1210,Federal Express Corporation,6,0,0
1360,Polar Air Cargo,6,0,0
723,Air Vanuatu,6,4932,6009
299,Virgin Australia,6,41436,45874
639,South African Airways,6,4951,5709
1018,Qantas Airways,6,6452,6489
1047,Air Niugini,6,5862,6268
260,Fiji Airways,6,19771,23622
101,Virgin Australia,6,1114,1201
255,Qantas Airways,6,0,0
860,Solomon Airlines,6,1621,1609
632,China Southern Airlines,6,41960,45516
1332,Virgin Australia,6,9508,11737
710,Qantas Airways,6,24810,29200
736,Silk Air,6,5560,7107
302,Qantas Airways,6,16067,16524
830,Eva Air,6,2840,3191
121,Virgin Australia,6,740,1010
256,British Airways,6,2506,3983
901,China Eastern Airlines,6,29729,33752
212,Garuda Indonesia,6,23945,32531
814,Emirates,6,228,82
1190,British Airways,6,3274,2771
251,Beijing Capital Airlines,6,3211,3685
1158,Hainan Airlines,6,7581,10579
1339,Malindo Air,6,6859,8135
1155,Federal Express Corporation,6,0,0
92,LATAM Airlines,6,5469,5810
679,Sichuan Airlines,6,3408,5473
1193,United Airlines,6,19449,20575
691,Cathay Pacific Airways,6,69626,83729
209,Jetstar,6,8944,11050
842,Emirates,6,0,0
868,Qantas Airways,6,12114,13578
1198,Emirates,6,0,0
278,Qantas Airways,6,10710,11830
840,Nauru Airlines,6,172,549
82,Jetstar,6,2439,2578
1199,All Nippon Airways,6,4065,5090
242,Xiamen Airlines,6,8653,9072
658,Malaysia Airlines,6,39370,49268
838,Hawaiian Airlines,6,7637,9541
757,China Airlines,6,3749,4228
891,Air China,6,10001,14746
755,Etihad Airways,6,39179,53202
208,Malindo Air,6,6849,8439
285,United Parcel Service,6,0,0
250,Batik Air Indonesia,6,3357,4140
1025,Qantas Airways,6,23898,24456
95,Qantas Airways,6,4370,3968
98,Virgin Australia,6,21649,22893
878,Qantas Airways,6,7066,6942
1066,Philippine Airlines,6,11523,12768
127,Emirates,6,4615,5123
500,Qantas Airways,6,44308,47750
1314,Donghai Airlines,6,240,293
45,Qantas Airways,6,2019,2023
333,Qantas Airways,6,57627,63007
64,Air New Zealand,6,813,1035
957,Virgin Australia,6,516,721
1229,Singapore Airlines,6,136617,158855
178,Polar Air Cargo,6,0,0
493,Tasman Cargo Airlines,6,0,0
921,Samoa Airways,6,1336,1671
1253,Thai AirAsia X,6,392,686
566,Qantas Airways,6,2049,2637
44,Virgin Australia,6,1676,1884
386,Jetstar,6,2800,3039
336,American Airlines,6,8156,7865
984,Qatar Airways,6,45850,63993
179,LATAM Airlines,6,2657,2822
172,Air Caledonie International,6,4001,5143
525,Emirates,6,7149,9231
1257,Virgin Australia,6,14338,15265
339,Indonesia AirAsia,6,13677,14528
1242,United Parcel Service,6,0,0
346,Qantas Airways,6,59449,63337
996,Virgin Australia,6,11606,12173
925,Malaysia Airlines,6,0,0
348,Scoot Tigerair,6,22114,27368
530,Pacific Air Express,6,0,0
929,Federal Express Corporation,6,0,0
989,Delta Air Lines,6,8200,7692
471,Jetstar,6,26533,28915
951,Korean Air,6,11050,11534
1102,SriLankan Airlines,6,7125,7438
1227,Qantas Airways,6,0,0
570,Asiana Airlines,6,8204,8209
377,Cebu Pacific Air,6,10837,12105
1069,Thai Airways International,6,28034,37011
311,Pacific Air Express,6,0,0
1006,United Parcel Service,6,0,0
506,Jetstar,6,14196,13301
161,Qantas Airways,6,5170,5049
420,Qantas Airways,6,3958,4508
1317,Qantas Airways,6,3124,3402
188,Air India,6,8144,7827
911,Emirates,6,93533,119278
503,Jetstar,6,7233,8183
1285,Jetstar,6,12292,12522
322,Royal Brunei Airlines,6,3503,6871
606,Air Canada,6,16202,18943
437,Singapore Airlines,6,1809,1287
57,Jetstar,6,63721,64870
916,Air Mauritius,6,1680,2100
185,Air New Zealand,6,97852,101292
1287,Jetstar Asia,6,4033,4392
615,Japan Airlines,6,8696,10105
186,AirAsia X,6,34656,45329
415,Tianjin Airlines,6,1118,1408
958,Virgin Australia,6,2015,2246
1249,Nauru Airlines,6,534,298
1281,Polar Air Cargo,6,0,0
1105,United Parcel Service,6,0,0
509,China Airlines,6,16566,19978
734,Qantas Airways,7,2530,2148
946,Delta Air Lines,7,8549,7757
754,Garuda Indonesia,7,32757,31372
254,Fiji Airways,7,24859,23038
1038,Virgin Australia,7,23909,22996
993,Federal Express Corporation,7,0,0
176,Scoot Tigerair,7,32257,28619
1166,Emirates,7,0,0
748,Qantas Airways,7,8244,7976
490,Qantas Airways,7,51071,46153
861,Virgin Australia,7,2340,2383
371,Jetstar,7,11862,11285
992,Qantas Airways,7,68885,63956
495,United Parcel Service,7,0,0
24,South African Airways,7,6692,5824
1171,AirAsia X,7,66794,49450
246,China Southern Airlines,7,46644,42786
1092,Jetstar,7,12797,12579
908,Virgin Australia,7,1095,1164
1088,Air Mauritius,7,2458,2213
1273,Qantas Airways,7,13872,12307
794,Emirates,7,129580,99392
450,Indonesia AirAsia,7,15344,14787
449,Polar Air Cargo,7,0,0
837,Jetstar,7,9452,8400
1080,Qantas Airways,7,8124,6480
791,Thai AirAsia X,7,5233,3357
36,Emirates,7,6972,6471
1138,United Airlines,7,21442,20299
1135,Virgin Australia,7,13623,12592
971,Qantas Airways,7,5401,5093
1289,Malaysia Airlines,7,0,0
89,United Parcel Service,7,0,0
52,Emirates,7,9388,5687
1139,Jetstar,7,4314,3857
956,Virgin Australia,7,2720,2567
841,Tasman Cargo Airlines,7,0,0
985,Air Caledonie International,7,3969,4200
239,SriLankan Airlines,7,8283,6476
468,Air Tahiti Nui,7,2019,1692
1040,Air India,7,8395,6145
1157,Pacific Air Express,7,0,0
237,Qantas Airways,7,3139,2944
772,Thai Airways International,7,39001,37145
1156,Jetstar Asia,7,4416,3236
988,Jetstar,7,70276,70015
846,All Nippon Airways,7,6090,4860
1077,Qantas Airways,7,30966,24351
862,Emirates,7,0,0
154,Japan Airlines,7,10831,8475
784,British Airways,7,3209,2910
954,Malindo Air,7,7854,8851
787,Air New Zealand,7,847,1064
1263,Xiamen Airlines,7,9744,7816
1153,Virgin Australia,7,58286,55161
511,American Airlines,7,8449,7964
675,Virgin Australia,7,15910,13588
640,Qantas Airways,7,12355,9770
688,Qantas Airways,7,73898,79875
69,Air Canada,7,20502,19483
273,Sichuan Airlines,7,6123,4239
900,LATAM Airlines,7,7016,5849
1237,Qantas Airways,7,4801,4464
316,United Parcel Service,7,0,0
1235,Qantas Airways,7,18021,16663
134,Pacific Air Express,7,0,0
140,Qatar Airways,7,65387,57800
1174,Asiana Airlines,7,8837,7238
674,Hainan Airlines,7,13704,9286
1233,Beijing Capital Airlines,7,5153,4297
1111,Cebu Pacific Air,7,13921,9935
1197,Jetstar,7,37413,36916
562,Qantas Airways,7,0,0
1335,Batik Air Indonesia,7,5041,4489
279,Cathay Pacific Airways,7,80868,72970
1313,Singapore Airlines,7,168522,145423
1200,Nauru Airlines,7,281,264
660,Vietnam Airlines,7,20295,18835
657,Virgin Australia,7,551,736
892,LATAM Airlines,7,3593,4059
917,Royal Brunei Airlines,7,7669,6250
1002,China Eastern Airlines,7,36012,29967
1021,British Airways,7,2681,3783
119,Federal Express Corporation,7,0,0
16,Qantas Airways,7,6851,5044
538,Qantas Airways,7,31106,21371
689,Korean Air,7,12117,9860
537,Silk Air,7,8892,7782
865,Air Niugini,7,6832,6941
504,Jetstar,7,20742,13872
904,Air China,7,11095,12879
1177,Jetstar,7,2724,2710
1060,Etihad Airways,7,55043,44185
1301,Polar Air Cargo,7,0,0
1303,Virgin Australia,7,14585,9143
